description,image,link,words,lemmatized_words,filtered_lemmatized_words,features,cluster
The Coffee Brewing Co The First Brew KitGift Box Combo of 4 200g,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81KFbfYdt9L._AC_UL320_.jpg,https://www.amazon.in/Coffee-Brewing-Company-Assorted-Flavors/dp/B07XRPV1VF/ref=sr_1_2478?qid=1679216378&s=grocery&sr=1-2478,"['The', 'Coffee', 'Brewing', 'Co', 'The', 'First', 'Brew', 'KitGift', 'Box', 'Combo', 'of', '4', '200g']","['The', 'Coffee', 'Brewing', 'Co', 'The', 'First', 'Brew', 'KitGift', 'Box', 'Combo', 'of', '4', '200g']","['Coffee', 'Brewing', 'Co', 'First', 'Brew', 'KitGift', 'Box', 'Combo', '4', '200g']","[9, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 3, 2, 0, 4, 0, 0, 0, 1, 1, 5, 0, 0, 3, 1, 3, 0, 0, 2, 1, 0, 0]",4
HEALTHY PANDA Healtthy Panda 100 Natural Desi Kadha  Kashaya Powder  Herbal Tea Ayurvedic Kadha Ayurvedic Tea  Ayush,https://m.media-amazon.com/images/I/61p13PMD6DL._AC_UL320_.jpg,https://www.amazon.in/HEALTHY-PANDA-Healtthy-Natural-Ayurvedic/dp/B0995RR9KJ/ref=sr_1_4190?qid=1679216407&s=grocery&sr=1-4190,"['HEALTHY', 'PANDA', 'Healtthy', 'Panda', '100', 'Natural', 'Desi', 'Kadha', 'Kashaya', 'Powder', 'Herbal', 'Tea', 'Ayurvedic', 'Kadha', 'Ayurvedic', 'Tea', 'Ayush']","['HEALTHY', 'PANDA', 'Healtthy', 'Panda', '100', 'Natural', 'Desi', 'Kadha', 'Kashaya', 'Powder', 'Herbal', 'Tea', 'Ayurvedic', 'Kadha', 'Ayurvedic', 'Tea', 'Ayush']","['HEALTHY', 'PANDA', 'Healtthy', 'Panda', '100', 'Natural', 'Desi', 'Kadha', 'Kashaya', 'Powder', 'Herbal', 'Tea', 'Ayurvedic', 'Kadha', 'Ayurvedic', 'Tea', 'Ayush']","[16, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 1, 0, 0, 4, 0, 0, 3, 1, 0, 2, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 15, 1, 2, 6, 8, 0, 0, 5, 3, 0, 0, 3, 0, 1, 1, 0, 0, 5, 3, 3, 4, 2, 1, 0, 5, 0]",5
BEYONDARIE Organic Karbi Ginger Herbal Tea Powder  100g  100 Fresh and Organic Herbal Tea for Weight Loss  For Stress ,https://m.media-amazon.com/images/I/810O0OE7dqS._AC_UL320_.jpg,https://www.amazon.in/Beyondarie-Karbi-Ginger-Herbal-Latte/dp/B092QQNL46/ref=sr_1_8533?qid=1679216483&s=grocery&sr=1-8533,"['BEYONDARIE', 'Organic', 'Karbi', 'Ginger', 'Herbal', 'Tea', 'Powder', '100g', '100', 'Fresh', 'and', 'Organic', 'Herbal', 'Tea', 'for', 'Weight', 'Loss', 'For', 'Stress']","['BEYONDARIE', 'Organic', 'Karbi', 'Ginger', 'Herbal', 'Tea', 'Powder', '100g', '100', 'Fresh', 'and', 'Organic', 'Herbal', 'Tea', 'for', 'Weight', 'Loss', 'For', 'Stress']","['BEYONDARIE', 'Organic', 'Karbi', 'Ginger', 'Herbal', 'Tea', 'Powder', '100g', '100', 'Fresh', 'Organic', 'Herbal', 'Tea', 'Weight', 'Loss', 'Stress']","[15, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 1, 2, 1, 0, 1, 1, 0, 1, 3, 1, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 7, 3, 2, 1, 9, 0, 5, 2, 5, 0, 0, 2, 0, 3, 2, 0, 0, 9, 5, 2, 0, 0, 1, 0, 0, 0]",7
Instant Chicory Root Powder Classic Flavour Chicory Powder 75g  HAPPISIPS,https://m.media-amazon.com/images/I/518OA5AXr7L._AC_UL320_.jpg,https://www.amazon.in/Chicory-Root-Powder-Classic-Flavour/dp/B093ZXXKW9/ref=sr_1_8532?qid=1679216483&s=grocery&sr=1-8532,"['Instant', 'Chicory', 'Root', 'Powder', 'Classic', 'Flavour', 'Chicory', 'Powder', '75g', 'HAPPISIPS']","['Instant', 'Chicory', 'Root', 'Powder', 'Classic', 'Flavour', 'Chicory', 'Powder', '75g', 'HAPPISIPS']","['Instant', 'Chicory', 'Root', 'Powder', 'Classic', 'Flavour', 'Chicory', 'Powder', '75g', 'HAPPISIPS']","[9, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 3, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 5, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 2, 2, 0, 1, 2, 3, 0, 0, 2, 0, 2, 7, 0, 0, 5, 3, 3, 1, 1, 2, 0, 2, 0]",4
Society One Minute Tea Masala Premix 140 g  Pack of 3,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71GLxjJmswL._AC_UL320_.jpg,https://www.amazon.in/Society-One-Minute-Masala-Premix/dp/B09YGB2F6F/ref=sr_1_4032?qid=1679216404&s=grocery&sr=1-4032,"['Society', 'One', 'Minute', 'Tea', 'Masala', 'Premix', '140', 'g', 'Pack', 'of', '3']","['Society', 'One', 'Minute', 'Tea', 'Masala', 'Premix', '140', 'g', 'Pack', 'of', '3']","['Society', 'One', 'Minute', 'Tea', 'Masala', 'Premix', '140', 'g', 'Pack', '3']","[9, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 2, 0, 5, 0, 1, 0, 3, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 2, 1, 0, 0, 1, 1, 0]",0
SAGE Hibiscus Roselle Flower Based Instant Mix  Natural Juice 2 Months Pack 60,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81QmCGHK-7L._AC_UL320_.jpg,https://www.amazon.in/SAGE-Hibiscus-Roselle-Instant-Natural/dp/B0B51NF2TW/ref=sr_1_8889?qid=1679216488&s=grocery&sr=1-8889,"['SAGE', 'Hibiscus', 'Roselle', 'Flower', 'Based', 'Instant', 'Mix', 'Natural', 'Juice', '2', 'Months', 'Pack', '60']","['SAGE', 'Hibiscus', 'Roselle', 'Flower', 'Based', 'Instant', 'Mix', 'Natural', 'Juice', '2', 'Months', 'Pack', '60']","['SAGE', 'Hibiscus', 'Roselle', 'Flower', 'Based', 'Instant', 'Mix', 'Natural', 'Juice', '2', 'Months', 'Pack', '60']","[12, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 3, 1, 5, 0, 0, 1, 4, 0, 1, 4, 0, 3, 3, 0, 0, 2, 6, 4, 3, 0, 1, 1, 0, 0]",4
Jimmys Cocktails The New Old Fashioned Cocktail Mixers Pack of 8  Finely Crafted NonAlcoholic Beverage Each 250Ml Bot,https://m.media-amazon.com/images/I/515O0BgBthL._AC_UL320_.jpg,https://www.amazon.in/Jimmys-Cocktails-Fashioned-Cocktail-Mixers/dp/B0BCZ5Q4SH/ref=sr_1_6731?qid=1679216452&s=grocery&sr=1-6731,"['Jimmys', 'Cocktails', 'The', 'New', 'Old', 'Fashioned', 'Cocktail', 'Mixers', 'Pack', 'of', '8', 'Finely', 'Crafted', 'NonAlcoholic', 'Beverage', 'Each', '250Ml', 'Bot']","['Jimmys', 'Cocktails', 'The', 'New', 'Old', 'Fashioned', 'Cocktail', 'Mixers', 'Pack', 'of', '8', 'Finely', 'Crafted', 'NonAlcoholic', 'Beverage', 'Each', '250Ml', 'Bot']","['Jimmys', 'Cocktails', 'New', 'Old', 'Fashioned', 'Cocktail', 'Mixers', 'Pack', '8', 'Finely', 'Crafted', 'NonAlcoholic', 'Beverage', '250Ml', 'Bot']","[14, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 3, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 5, 3, 8, 1, 1, 2, 7, 0, 3, 7, 2, 3, 7, 0, 0, 3, 4, 4, 0, 1, 1, 1, 2, 0]",6
Botanical Sage Mullein Tea 100g With free Tea Infuser 2 months pack Tea cut Loose Leaves For Lungs Detox  Selected  ,https://m.media-amazon.com/images/I/61sQKctJkIL._AC_UL320_.jpg,https://www.amazon.in/Botanical-Mullein-Infuser-months-Selected/dp/B0BM9YK9LL/ref=sr_1_4730?qid=1679216415&s=grocery&sr=1-4730,"['Botanical', 'Sage', 'Mullein', 'Tea', '100g', 'With', 'free', 'Tea', 'Infuser', '2', 'months', 'pack', 'Tea', 'cut', 'Loose', 'Leaves', 'For', 'Lungs', 'Detox', 'Selected']","['Botanical', 'Sage', 'Mullein', 'Tea', '100g', 'With', 'free', 'Tea', 'Infuser', '2', 'month', 'pack', 'Tea', 'cut', 'Loose', 'Leaves', 'For', 'Lungs', 'Detox', 'Selected']","['Botanical', 'Sage', 'Mullein', 'Tea', '100g', 'free', 'Tea', 'Infuser', '2', 'month', 'pack', 'Tea', 'cut', 'Loose', 'Leaves', 'Lungs', 'Detox', 'Selected']","[17, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 8, 0, 4, 1, 15, 2, 3, 1, 2, 0, 1, 4, 1, 5, 5, 1, 0, 2, 4, 5, 4, 1, 0, 1, 0, 0]",2
Melosa Mongolian Salt Tea Butter Tea Po Cha Instant 3 In 1 Tea MixPack of 2,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71oDlkh3l6L._AC_UL320_.jpg,https://www.amazon.in/Melosa-Mongolian-Salt-Butter-Instant/dp/B09CM9WC61/ref=sr_1_5024?qid=1679216420&s=grocery&sr=1-5024,"['Melosa', 'Mongolian', 'Salt', 'Tea', 'Butter', 'Tea', 'Po', 'Cha', 'Instant', '3', 'In', '1', 'Tea', 'MixPack', 'of', '2']","['Melosa', 'Mongolian', 'Salt', 'Tea', 'Butter', 'Tea', 'Po', 'Cha', 'Instant', '3', 'In', '1', 'Tea', 'MixPack', 'of', '2']","['Melosa', 'Mongolian', 'Salt', 'Tea', 'Butter', 'Tea', 'Po', 'Cha', 'Instant', '3', '1', 'Tea', 'MixPack', '2']","[13, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 2, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 9, 0, 1, 0, 5, 0, 1, 1, 2, 0, 1, 3, 0, 4, 4, 0, 0, 1, 2, 5, 1, 0, 0, 1, 0, 0]",7
Real Fruit Power Juice  Orange 1L Carton,https://m.media-amazon.com/images/I/71k1gi24UtL._AC_UL320_.jpg,https://www.amazon.in/Real-Fruit-Power-Juice-Orange/dp/B00XBPHOW8/ref=sr_1_6726?qid=1679216452&s=grocery&sr=1-6726,"['Real', 'Fruit', 'Power', 'Juice', 'Orange', '1L', 'Carton']","['Real', 'Fruit', 'Power', 'Juice', 'Orange', '1L', 'Carton']","['Real', 'Fruit', 'Power', 'Juice', 'Orange', '1L', 'Carton']","[6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 4, 0, 1, 0, 2, 0, 0, 1, 0, 2, 2, 0, 0, 4, 0, 2, 2, 0, 1, 0, 0, 0]",3
Online Quality Store Organic Rose Flower Tea  100g  Pure Persian Rose Petals  Caffeine Free Herbal Tea  Use for Iced T,https://m.media-amazon.com/images/I/71jgRTdG+iL._AC_UL320_.jpg,https://www.amazon.in/Online-Quality-Store-Organic-Flower/dp/B09SGQHPRX/ref=sr_1_5865?qid=1679216435&s=grocery&sr=1-5865,"['Online', 'Quality', 'Store', 'Organic', 'Rose', 'Flower', 'Tea', '100g', 'Pure', 'Persian', 'Rose', 'Petals', 'Caffeine', 'Free', 'Herbal', 'Tea', 'Use', 'for', 'Iced', 'T']","['Online', 'Quality', 'Store', 'Organic', 'Rose', 'Flower', 'Tea', '100g', 'Pure', 'Persian', 'Rose', 'Petals', 'Caffeine', 'Free', 'Herbal', 'Tea', 'Use', 'for', 'Iced', 'T']","['Online', 'Quality', 'Store', 'Organic', 'Rose', 'Flower', 'Tea', '100g', 'Pure', 'Persian', 'Rose', 'Petals', 'Caffeine', 'Free', 'Herbal', 'Tea', 'Use', 'Iced']","[17, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 2, 3, 1, 2, 1, 2, 1, 0, 0, 0, 0, 0, 8, 1, 2, 1, 17, 2, 2, 0, 5, 0, 0, 5, 0, 5, 4, 0, 0, 7, 5, 3, 2, 0, 1, 0, 1, 0]",2
Karma Kettle Marrakech Authentic Moroccan Green Tea Low Caffeine High Antioxidants with Spearmint  25 Pyramid Teabags,https://m.media-amazon.com/images/I/61e7qaLpseL._AC_UL320_.jpg,https://www.amazon.in/Marrakech-Authentic-Moroccan-Antioxidants-Spearmint-Refreshing/dp/B073S5YV3P/ref=sr_1_6721?qid=1679216452&s=grocery&sr=1-6721,"['Karma', 'Kettle', 'Marrakech', 'Authentic', 'Moroccan', 'Green', 'Tea', 'Low', 'Caffeine', 'High', 'Antioxidants', 'with', 'Spearmint', '25', 'Pyramid', 'Teabags']","['Karma', 'Kettle', 'Marrakech', 'Authentic', 'Moroccan', 'Green', 'Tea', 'Low', 'Caffeine', 'High', 'Antioxidants', 'with', 'Spearmint', '25', 'Pyramid', 'Teabags']","['Karma', 'Kettle', 'Marrakech', 'Authentic', 'Moroccan', 'Green', 'Tea', 'Low', 'Caffeine', 'High', 'Antioxidants', 'Spearmint', '25', 'Pyramid', 'Teabags']","[14, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 12, 1, 4, 2, 11, 2, 2, 3, 7, 0, 1, 1, 3, 7, 4, 1, 0, 7, 2, 7, 1, 0, 1, 1, 1, 0]",5
Dancing Leaf Kesar Rose Chai Assam Black Tea Saffron Cardamom and Rose Petals  Premium Milk Tea  100gms  40cups,https://m.media-amazon.com/images/I/81XC5FVuMlL._AC_UL320_.jpg,https://www.amazon.in/Dancing-Leaf-Saffron-Cardamom-Premium/dp/B08GQD9SMB/ref=sr_1_3601?qid=1679216395&s=grocery&sr=1-3601,"['Dancing', 'Leaf', 'Kesar', 'Rose', 'Chai', 'Assam', 'Black', 'Tea', 'Saffron', 'Cardamom', 'and', 'Rose', 'Petals', 'Premium', 'Milk', 'Tea', '100gms', '40cups']","['Dancing', 'Leaf', 'Kesar', 'Rose', 'Chai', 'Assam', 'Black', 'Tea', 'Saffron', 'Cardamom', 'and', 'Rose', 'Petals', 'Premium', 'Milk', 'Tea', '100gms', '40cups']","['Dancing', 'Leaf', 'Kesar', 'Rose', 'Chai', 'Assam', 'Black', 'Tea', 'Saffron', 'Cardamom', 'Rose', 'Petals', 'Premium', 'Milk', 'Tea', '100gms', '40cups']","[16, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 12, 0, 3, 1, 8, 3, 2, 1, 4, 0, 2, 3, 6, 3, 4, 1, 0, 4, 8, 1, 2, 0, 0, 0, 0, 0]",5
All in One Herbal Lemon Green Tea Sugar Less 25 Tea Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81Uqn0zDLhL._AC_UL320_.jpg,https://www.amazon.in/All-Herbal-Lemon-Green-Sugar/dp/B07G315R9N/ref=sr_1_227?qid=1679216338&s=grocery&sr=1-227,"['All', 'in', 'One', 'Herbal', 'Lemon', 'Green', 'Tea', 'Sugar', 'Less', '25', 'Tea', 'Bags']","['All', 'in', 'One', 'Herbal', 'Lemon', 'Green', 'Tea', 'Sugar', 'Less', '25', 'Tea', 'Bags']","['One', 'Herbal', 'Lemon', 'Green', 'Tea', 'Sugar', 'Less', '25', 'Tea', 'Bags']","[9, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 8, 0, 2, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 3, 3, 0, 1, 0, 0, 0, 0, 0]",9
Namaste Chai Instant Tea Premix Adrak Chai  Value Pack  Assam Tea  Easy To Make Tea  Ready Mix 1 KG Powder,https://m.media-amazon.com/images/I/71R1JQl4SGL._AC_UL320_.jpg,https://www.amazon.in/Namaste-Chai-Instant-Vending-Machine/dp/B09FQ4FP1D/ref=sr_1_2704?qid=1679216381&s=grocery&sr=1-2704,"['Namaste', 'Chai', 'Instant', 'Tea', 'Premix', 'Adrak', 'Chai', 'Value', 'Pack', 'Assam', 'Tea', 'Easy', 'To', 'Make', 'Tea', 'Ready', 'Mix', '1', 'KG', 'Powder']","['Namaste', 'Chai', 'Instant', 'Tea', 'Premix', 'Adrak', 'Chai', 'Value', 'Pack', 'Assam', 'Tea', 'Easy', 'To', 'Make', 'Tea', 'Ready', 'Mix', '1', 'KG', 'Powder']","['Namaste', 'Chai', 'Instant', 'Tea', 'Premix', 'Adrak', 'Chai', 'Value', 'Pack', 'Assam', 'Tea', 'Easy', 'Make', 'Tea', 'Ready', 'Mix', '1', 'KG', 'Powder']","[18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 1, 0, 3, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 15, 0, 1, 3, 9, 0, 0, 2, 4, 0, 3, 1, 3, 2, 1, 0, 0, 3, 5, 3, 1, 0, 1, 2, 2, 0]",5
SARAVANA GAMBODGE HORSEGRAM Herbal Juice KODAMPULI KOLLUSARU 500 ml,https://m.media-amazon.com/images/I/71AqWMjBAQL._AC_UL320_.jpg,https://www.amazon.in/SARAVANA-GAMBODGE-HORSEGRAM-KODAMPULI-KOLLUSARU/dp/B07PDQLTPF/ref=sr_1_6748?qid=1679216454&s=grocery&sr=1-6748,"['SARAVANA', 'GAMBODGE', 'HORSEGRAM', 'Herbal', 'Juice', 'KODAMPULI', 'KOLLUSARU', '500', 'ml']","['SARAVANA', 'GAMBODGE', 'HORSEGRAM', 'Herbal', 'Juice', 'KODAMPULI', 'KOLLUSARU', '500', 'ml']","['SARAVANA', 'GAMBODGE', 'HORSEGRAM', 'Herbal', 'Juice', 'KODAMPULI', 'KOLLUSARU', '500', 'ml']","[8, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 1, 0, 2, 2, 0, 3, 2, 1, 1, 2, 3, 3, 1, 4, 1, 0, 4, 3, 0, 3, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",3
Fig leaves Dried  100 gms,https://m.media-amazon.com/images/I/71qLyz1N3DL._AC_UL320_.jpg,https://www.amazon.in/Fig-leaves-Dried-100-gms/dp/B0B5T5WLHY/ref=sr_1_6653?qid=1679216450&s=grocery&sr=1-6653,"['Fig', 'leaves', 'Dried', '100', 'gms']","['Fig', 'leaf', 'Dried', '100', 'gm']","['Fig', 'leaf', 'Dried', '100', 'gm']","[4, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 2, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3
VAHDAM Organic Amla Ginger Tea  15 Green Tea Bags  Vitamin C Fortified Digestive Health Drink  High Nutrition Pratapgar,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71AHgaSqqML._AC_UL320_.jpg,https://www.amazon.in/VAHDAM-Organic-Amla-Ginger-Tea/dp/B08R6FGYPT/ref=sr_1_1748?qid=1679216366&s=grocery&sr=1-1748,"['VAHDAM', 'Organic', 'Amla', 'Ginger', 'Tea', '15', 'Green', 'Tea', 'Bags', 'Vitamin', 'C', 'Fortified', 'Digestive', 'Health', 'Drink', 'High', 'Nutrition', 'Pratapgar']","['VAHDAM', 'Organic', 'Amla', 'Ginger', 'Tea', '15', 'Green', 'Tea', 'Bags', 'Vitamin', 'C', 'Fortified', 'Digestive', 'Health', 'Drink', 'High', 'Nutrition', 'Pratapgar']","['VAHDAM', 'Organic', 'Amla', 'Ginger', 'Tea', '15', 'Green', 'Tea', 'Bags', 'Vitamin', 'C', 'Fortified', 'Digestive', 'Health', 'Drink', 'High', 'Nutrition', 'Pratapgar']","[17, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 1, 3, 0, 1, 2, 3, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 10, 0, 1, 1, 9, 1, 6, 2, 12, 0, 1, 2, 2, 6, 2, 1, 0, 8, 2, 7, 1, 1, 0, 0, 0, 0]",8
DESITA COFFEE  Dark Roast Ground Coffee  250 g   Freshly Roasted  100 Arabica ,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51b5hkE1eXL._AC_UL320_.jpg,https://www.amazon.in/DESITA-COFFEE-Freshly-Roasted-Arabica/dp/B09LHX4XX9/ref=sr_1_8898?qid=1679216488&s=grocery&sr=1-8898,"['DESITA', 'COFFEE', 'Dark', 'Roast', 'Ground', 'Coffee', '250', 'g', 'Freshly', 'Roasted', '100', 'Arabica']","['DESITA', 'COFFEE', 'Dark', 'Roast', 'Ground', 'Coffee', '250', 'g', 'Freshly', 'Roasted', '100', 'Arabica']","['DESITA', 'COFFEE', 'Dark', 'Roast', 'Ground', 'Coffee', '250', 'g', 'Freshly', 'Roasted', '100', 'Arabica']","[11, 3, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2, 3, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 5, 1, 1, 2, 4, 2, 1, 1, 1, 0, 1, 1, 0, 1, 4, 0, 0, 4, 3, 2, 1, 0, 0, 0, 1, 0]",9
Seven Spring Healthy Pomegranate Special Tea For Heart Health  Rich in antioxidants  Premium Loose Leaf Tea,https://m.media-amazon.com/images/I/615x1nOeB5L._AC_UL320_.jpg,https://www.amazon.in/Healthy-Pomegranate-Special-antioxidants-Premium/dp/B09RB924L1/ref=sr_1_7082?qid=1679216460&s=grocery&sr=1-7082,"['Seven', 'Spring', 'Healthy', 'Pomegranate', 'Special', 'Tea', 'For', 'Heart', 'Health', 'Rich', 'in', 'antioxidants', 'Premium', 'Loose', 'Leaf', 'Tea']","['Seven', 'Spring', 'Healthy', 'Pomegranate', 'Special', 'Tea', 'For', 'Heart', 'Health', 'Rich', 'in', 'antioxidant', 'Premium', 'Loose', 'Leaf', 'Tea']","['Seven', 'Spring', 'Healthy', 'Pomegranate', 'Special', 'Tea', 'Heart', 'Health', 'Rich', 'antioxidant', 'Premium', 'Loose', 'Leaf', 'Tea']","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 3, 2, 0, 0, 0, 0, 0, 0, 11, 0, 2, 1, 13, 1, 2, 3, 6, 0, 0, 3, 3, 5, 4, 2, 0, 4, 1, 6, 1, 1, 0, 1, 1, 0]",5
Coffee People Premium Authentic 100 A grade Arabica Blend Filter coffee decoction Liquid from Chikkamagaluru No Robust,https://m.media-amazon.com/images/I/71hWj-vko0S._AC_UL320_.jpg,https://www.amazon.in/Coffee-People-Premium-Decoction-Pack_230/dp/B097RRDJY5/ref=sr_1_5879?qid=1679216435&s=grocery&sr=1-5879,"['Coffee', 'People', 'Premium', 'Authentic', '100', 'A', 'grade', 'Arabica', 'Blend', 'Filter', 'coffee', 'decoction', 'Liquid', 'from', 'Chikkamagaluru', 'No', 'Robust']","['Coffee', 'People', 'Premium', 'Authentic', '100', 'A', 'grade', 'Arabica', 'Blend', 'Filter', 'coffee', 'decoction', 'Liquid', 'from', 'Chikkamagaluru', 'No', 'Robust']","['Coffee', 'People', 'Premium', 'Authentic', '100', 'grade', 'Arabica', 'Blend', 'Filter', 'coffee', 'decoction', 'Liquid', 'Chikkamagaluru', 'Robust']","[13, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 5, 4, 12, 4, 2, 2, 8, 0, 2, 4, 3, 3, 6, 1, 1, 5, 1, 5, 6, 0, 0, 0, 0, 0]",6
Special Export Blend,https://m.media-amazon.com/images/I/51TEvX5FiHL._AC_UL320_.jpg,https://www.amazon.in/Kolukkumalai-Special-Export-Blend/dp/B0B7416WG9/ref=sr_1_4776?qid=1679216416&s=grocery&sr=1-4776,"['Special', 'Export', 'Blend']","['Special', 'Export', 'Blend']","['Special', 'Export', 'Blend']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",3
Society Ginger Lemongrass Premix Tea 1 kg Pouch,https://m.media-amazon.com/images/I/61Rq7NwD-yL._AC_UL320_.jpg,https://www.amazon.in/Society-Ginger-Lemongrass-Premix-Pouch/dp/B09Z7TH88F/ref=sr_1_4629?qid=1679216412&s=grocery&sr=1-4629,"['Society', 'Ginger', 'Lemongrass', 'Premix', 'Tea', '1', 'kg', 'Pouch']","['Society', 'Ginger', 'Lemongrass', 'Premix', 'Tea', '1', 'kg', 'Pouch']","['Society', 'Ginger', 'Lemongrass', 'Premix', 'Tea', '1', 'kg', 'Pouch']","[7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 5, 0, 3, 1, 3, 0, 1, 0, 2, 2, 3, 0, 0, 3, 2, 1, 1, 0, 0, 1, 1, 0]",4
