description,image,link,words,lemmatized_words,filtered_lemmatized_words,features,cluster
Bournvita Pouch 1 kg Pack,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81fZ5pGLd7L._AC_UL320_.jpg,https://www.amazon.in/Bournvita-Pouch-1-kg-Pack/dp/B08Q3MSWVM/ref=sr_1_2207?qid=1679216372&s=grocery&sr=1-2207,"['Bournvita', 'Pouch', '1', 'kg', 'Pack']","['Bournvita', 'Pouch', '1', 'kg', 'Pack']","['Bournvita', 'Pouch', '1', 'kg', 'Pack']","[4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 1, 2, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0]",3
Bavaria NonAlcoholic Malt Drink Can 6 X 330 ml,https://m.media-amazon.com/images/I/61TRW-FUduL._AC_UL320_.jpg,https://www.amazon.in/Bavaria-Non-0Alcoholic-Malt-Drink-330ml/dp/B0768Z11HB/ref=sr_1_3842?qid=1679216398&s=grocery&sr=1-3842,"['Bavaria', 'NonAlcoholic', 'Malt', 'Drink', 'Can', '6', 'X', '330', 'ml']","['Bavaria', 'NonAlcoholic', 'Malt', 'Drink', 'Can', '6', 'X', '330', 'ml']","['Bavaria', 'NonAlcoholic', 'Malt', 'Drink', '6', 'X', '330', 'ml']","[7, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 1, 3, 0, 1, 4, 1, 2, 3, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0]",3
Newish Giloy Juice for Drinking  Immunity Booster 750ml,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71lP4YQ-YlL._AC_UL320_.jpg,https://www.amazon.in/Newish-Organic-Drinking-Immunity-Booster/dp/B08GYGMJSC/ref=sr_1_9323?qid=1679216497&s=grocery&sr=1-9323,"['Newish', 'Giloy', 'Juice', 'for', 'Drinking', 'Immunity', 'Booster', '750ml']","['Newish', 'Giloy', 'Juice', 'for', 'Drinking', 'Immunity', 'Booster', '750ml']","['Newish', 'Giloy', 'Juice', 'Drinking', 'Immunity', 'Booster', '750ml']","[6, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 1, 6, 0, 1, 2, 3, 3, 3, 0, 0, 2, 2, 2, 2, 0, 1, 0, 2, 0]",4
Nestle Milo ActivGo 400 g,https://m.media-amazon.com/images/I/419CW7hohIL._AC_UL320_.jpg,https://www.amazon.in/Nestle-Milo-400-g/dp/B08HVLW7H2/ref=sr_1_1144_mod_primary_new?qid=1679216352&s=grocery&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1144,"['Nestle', 'Milo', 'ActivGo', '400', 'g']","['Nestle', 'Milo', 'ActivGo', '400', 'g']","['Nestle', 'Milo', 'ActivGo', '400', 'g']","[4, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0]",3
Bague Raw Organic Naturally Roasted Robusta Coffee Beans 250 g,https://m.media-amazon.com/images/I/61U++eipXpL._AC_UL320_.jpg,https://www.amazon.in/Bague-Organic-Naturally-Roasted-Robusta/dp/B07QXHY2T4/ref=sr_1_4196?qid=1679216407&s=grocery&sr=1-4196,"['Bague', 'Raw', 'Organic', 'Naturally', 'Roasted', 'Robusta', 'Coffee', 'Beans', '250', 'g']","['Bague', 'Raw', 'Organic', 'Naturally', 'Roasted', 'Robusta', 'Coffee', 'Beans', '250', 'g']","['Bague', 'Raw', 'Organic', 'Naturally', 'Roasted', 'Robusta', 'Coffee', 'Beans', '250', 'g']","[9, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 1, 5, 2, 3, 0, 1, 0, 0, 2, 0, 2, 3, 0, 0, 2, 3, 3, 3, 0, 1, 0, 1, 0]",9
C Somabhai No 12 Premium Leaf Tea with Strong and Refreshing Desi Chai Taste 500 g,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51XuUzP4hyL._AC_UL320_.jpg,https://www.amazon.in/C-Somabhai-No-Premium-Leaf/dp/B09H2JDB7L/ref=sr_1_8397?qid=1679216480&s=grocery&sr=1-8397,"['C', 'Somabhai', 'No', '12', 'Premium', 'Leaf', 'Tea', 'with', 'Strong', 'and', 'Refreshing', 'Desi', 'Chai', 'Taste', '500', 'g']","['C', 'Somabhai', 'No', '12', 'Premium', 'Leaf', 'Tea', 'with', 'Strong', 'and', 'Refreshing', 'Desi', 'Chai', 'Taste', '500', 'g']","['C', 'Somabhai', '12', 'Premium', 'Leaf', 'Tea', 'Strong', 'Refreshing', 'Desi', 'Chai', 'Taste', '500', 'g']","[12, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 7, 2, 3, 3, 5, 0, 0, 0, 3, 2, 2, 0, 0, 3, 3, 2, 1, 0, 0, 0, 0, 0]",7
Jeevan Ras Wheat Grass  Giloye Stem Swaras Herbal Juice 1 ltr,https://m.media-amazon.com/images/I/61Ytph6hGQL._AC_UL320_.jpg,https://www.amazon.in/Jeevan-Wheat-Giloye-Swaras-Herbal/dp/B017OYWUQQ/ref=sr_1_3845?qid=1679216398&s=grocery&sr=1-3845,"['Jeevan', 'Ras', 'Wheat', 'Grass', 'Giloye', 'Stem', 'Swaras', 'Herbal', 'Juice', '1', 'ltr']","['Jeevan', 'Ras', 'Wheat', 'Grass', 'Giloye', 'Stem', 'Swaras', 'Herbal', 'Juice', '1', 'ltr']","['Jeevan', 'Ras', 'Wheat', 'Grass', 'Giloye', 'Stem', 'Swaras', 'Herbal', 'Juice', '1', 'ltr']","[10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 7, 1, 1, 0, 7, 0, 0, 1, 2, 0, 0, 3, 1, 1, 1, 0, 0, 4, 4, 3, 1, 1, 1, 0, 1, 0]",9
Lipton Iced Tea Mix Lemon Natural Flavour Sweetened Iced Tea Mix 670g,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/715Bf3YSxTL._AC_UL320_.jpg,https://www.amazon.in/Lipton-Lemon-Natural-Flavour-Sweetened/dp/B099ZHBVGF/ref=sr_1_2212?qid=1679216374&s=grocery&sr=1-2212,"['Lipton', 'Iced', 'Tea', 'Mix', 'Lemon', 'Natural', 'Flavour', 'Sweetened', 'Iced', 'Tea', 'Mix', '670g']","['Lipton', 'Iced', 'Tea', 'Mix', 'Lemon', 'Natural', 'Flavour', 'Sweetened', 'Iced', 'Tea', 'Mix', '670g']","['Lipton', 'Iced', 'Tea', 'Mix', 'Lemon', 'Natural', 'Flavour', 'Sweetened', 'Iced', 'Tea', 'Mix', '670g']","[11, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 2, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 5, 0, 2, 3, 9, 0, 1, 0, 3, 0, 0, 2, 1, 3, 3, 1, 0, 2, 0, 3, 2, 1, 1, 2, 0, 0]",9
Colombian Brew Vanilla Caramel Caf Latte Instant Coffee Powder Premix 3 in 1 10 Sachets Box pack of 2,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71tuMwGufdL._AC_UL320_.jpg,https://www.amazon.in/Colombian-Brew-Coffee-Vanilla-Pre-Mix/dp/B088KH9CZ4/ref=sr_1_2484?qid=1679216378&s=grocery&sr=1-2484,"['Colombian', 'Brew', 'Vanilla', 'Caramel', 'Caf', 'Latte', 'Instant', 'Coffee', 'Powder', 'Premix', '3', 'in', '1', '10', 'Sachets', 'Box', 'pack', 'of', '2']","['Colombian', 'Brew', 'Vanilla', 'Caramel', 'Caf', 'Latte', 'Instant', 'Coffee', 'Powder', 'Premix', '3', 'in', '1', '10', 'Sachets', 'Box', 'pack', 'of', '2']","['Colombian', 'Brew', 'Vanilla', 'Caramel', 'Caf', 'Latte', 'Instant', 'Coffee', 'Powder', 'Premix', '3', '1', '10', 'Sachets', 'Box', 'pack', '2']","[16, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 10, 1, 2, 1, 8, 3, 0, 1, 3, 0, 1, 4, 3, 4, 5, 1, 0, 4, 2, 5, 0, 0, 2, 2, 0, 0]",6
Coffee People Premium Authentic 100 A grade Arabica Blend Filter coffee decoction Liquid from Chikkamagaluru No Robust,https://m.media-amazon.com/images/I/71hWj-vko0S._AC_UL320_.jpg,https://www.amazon.in/Coffee-People-Premium-Decoction-Pack_230/dp/B097RRDJY5/ref=sr_1_6429?qid=1679216447&s=grocery&sr=1-6429,"['Coffee', 'People', 'Premium', 'Authentic', '100', 'A', 'grade', 'Arabica', 'Blend', 'Filter', 'coffee', 'decoction', 'Liquid', 'from', 'Chikkamagaluru', 'No', 'Robust']","['Coffee', 'People', 'Premium', 'Authentic', '100', 'A', 'grade', 'Arabica', 'Blend', 'Filter', 'coffee', 'decoction', 'Liquid', 'from', 'Chikkamagaluru', 'No', 'Robust']","['Coffee', 'People', 'Premium', 'Authentic', '100', 'grade', 'Arabica', 'Blend', 'Filter', 'coffee', 'decoction', 'Liquid', 'Chikkamagaluru', 'Robust']","[13, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 5, 4, 12, 4, 2, 2, 8, 0, 2, 4, 3, 3, 6, 1, 1, 5, 1, 5, 6, 0, 0, 0, 0, 0]",6
